"","MAE_OLS","MAE_FGLS","MSE_OLS","MSE_FGLS","Bias_OLS","Bias_FGLS","var_OLS","var_FGLS"
"3Ax3B(3)",6.20753987912862,1.32616450043098,58.2310709604981,2.59166892956378,2.14348260256207,2.05817433994533,56.087588357936,0.448186327001706
"3Ax3B(4)",6.12651484524805,1.38494804200059,55.7669623291426,3.20769189552706,2.21102071315734,2.04405204565672,53.5559416159853,0.996671182369721
"3Ax3B(5)",6.45638570929166,1.4266973254026,63.7096220705077,3.33789739217217,2.53053321303458,2.52164005147672,61.1790888574731,0.807364179137588
"3Ax3B(6)",6.86072551647867,1.35942664305748,70.1785487233238,2.91098977392231,1.6376163352286,1.5873644611986,68.5409323880952,1.27337343869371
"3Ax3B(7)",6.73790154426762,1.4912043901675,70.5805380097525,3.6608992957028,1.4164930905882,1.40811015297007,69.1640449191643,2.2444062051146
"3Ax3B(8)",6.77187712440608,1.52201708665516,70.9528786895513,4.0432064426269,1.74161061959795,1.75662775769762,69.2112680699533,2.30159582302895
"3Ax3B(9)",6.9488188362995,1.46740138816296,74.8626752529525,3.61705029986361,1.75146529309501,1.75903726811259,73.1112099598575,1.8655850067686
"3Ax3B(10)",7.00008013457802,1.43304639159335,75.1003836298012,3.24269841647624,1.63034805200027,1.66692199268168,73.470035577801,1.61235036447597
"3Ax3B(11)",7.00404668138008,1.43483590745693,75.5954749391892,3.24976446174187,1.62292283006935,1.7027395479061,73.9725521091198,1.62684163167251
"3Ax3B(12)",6.98813529710806,1.40769449175068,75.563271286855,3.12800522276152,1.7925588788784,1.93829810720983,73.7707124079766,1.33544634388312
